pair_id,rep,strategy,final_rate,peak_rate,cumulative_rate,retention_rate,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,seeded_teams,team_rates
3,3,champions,0.839757,0.839757,0.839757,1.0,8,True,828,0,148,10,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8571, 0.7903, 0.8974, 0.8276, 1.0, 0.8462, 0.8132, 0.9259, 0.875, 0.9118, 1.0, 0.7931, 0.9, 0.7692, 0.7321, 0.84, 0.8148, 0.8333, 1.0, 0.8889, 0.9, 1.0, 0.8, 0.9167, 1.0, 0.875, 0.6667, 1.0, 0.8333, 0.7692, 1.0, 0.7333, 0.9231, 0.6667, 0.785, 1.0, 1.0, 0.7778, 0.8929, 0.898, 0.7368, 0.871]"
3,3,cluster,0.155172,0.155172,0.155172,1.0,14,True,153,0,146,687,0,"[14, 16]","[0.0408, 0.0484, 0.1538, 0.0, 0.3333, 0.0, 0.011, 0.0556, 0.0417, 0.0882, 0.0, 0.069, 0.0, 0.6154, 0.8036, 0.56, 1.0, 0.3333, 0.6667, 0.0, 0.0, 1.0, 0.2, 0.0, 1.0, 0.0, 0.6667, 0.0, 0.1667, 0.0769, 0.0455, 0.0, 0.0769, 0.0, 0.0093, 0.0, 0.0, 0.0, 0.0357, 0.102, 0.0, 0.0]"
4,4,random,0.19574,0.19574,0.19574,1.0,13,True,193,0,127,666,0,"[0, 1, 2, 3, 5, 6, 8, 9, 14, 15, 17, 20, 26, 30, 33, 34, 36, 37, 38, 39, 40, 41]","[0.3469, 0.1452, 0.1282, 0.1034, 0.0, 0.0769, 0.044, 0.0185, 0.7083, 0.7647, 1.0, 0.0, 0.0, 0.0, 0.8571, 0.52, 0.0741, 0.1667, 0.5, 0.0, 0.1, 0.125, 0.0, 0.0, 0.0, 0.0, 0.7778, 0.0, 0.0, 0.0, 0.0455, 0.0, 0.2308, 0.3333, 0.0748, 0.0, 0.5, 0.0556, 0.1786, 0.1224, 0.1053, 0.129]"
4,4,champions,0.858012,0.858012,0.858012,1.0,6,True,846,0,128,12,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8776, 0.7742, 0.9231, 0.7931, 1.0, 0.9231, 0.8901, 0.7963, 0.7917, 0.8824, 1.0, 0.8966, 0.8, 0.9231, 0.9286, 0.76, 0.8889, 1.0, 1.0, 0.8889, 0.9, 0.625, 0.6, 0.8333, 0.75, 0.875, 0.7778, 1.0, 0.75, 1.0, 0.8636, 0.8667, 1.0, 1.0, 0.8318, 1.0, 0.5, 0.9444, 0.8929, 0.8776, 0.8421, 0.7742]"
4,4,cluster,0.067951,0.067951,0.067951,1.0,4,True,67,0,126,793,0,"[9, 26, 28]","[0.0, 0.0161, 0.0256, 0.0345, 0.0, 0.0, 0.022, 0.0185, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0357, 0.04, 0.1481, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0526, 0.0968]"
5,5,random,0.84787,0.84787,0.84787,1.0,25,True,836,0,132,18,0,"[1, 2, 6, 7, 8, 9, 13, 14, 15, 16, 17, 22, 23, 25, 29, 30, 32, 34, 38, 39, 40, 41]","[0.9184, 0.9032, 0.8974, 0.8621, 1.0, 0.8462, 0.8242, 0.8889, 0.875, 0.8824, 1.0, 0.8276, 0.7, 0.7692, 0.8214, 0.88, 0.963, 1.0, 0.6667, 0.7778, 0.9, 1.0, 0.4, 0.9167, 1.0, 1.0, 0.6667, 1.0, 0.9167, 0.7692, 0.8636, 0.7333, 0.9231, 0.6667, 0.7103, 1.0, 1.0, 1.0, 0.8214, 0.8367, 0.7895, 0.9677]"
5,5,champions,0.85497,0.85497,0.85497,1.0,7,True,843,0,129,14,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.9184, 0.9032, 0.8974, 0.8621, 1.0, 0.8462, 0.8132, 0.8704, 0.875, 0.8824, 1.0, 0.8276, 0.7, 0.7692, 0.8571, 0.92, 0.963, 1.0, 1.0, 0.7778, 0.9, 1.0, 0.6, 0.9167, 1.0, 0.875, 0.6667, 1.0, 1.0, 0.8462, 1.0, 0.7333, 0.9231, 0.6667, 0.7196, 1.0, 1.0, 1.0, 0.8214, 0.8163, 0.7895, 0.9355]"
5,5,cluster,0.138945,0.138945,0.138945,1.0,6,True,137,0,129,720,0,"[2, 5]","[0.0204, 0.0323, 1.0, 0.8621, 1.0, 0.9615, 0.0549, 0.0, 0.0833, 0.1471, 0.0, 0.1034, 0.1, 0.0769, 0.0, 0.16, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.25, 0.0, 0.0, 0.0833, 0.0769, 0.0455, 0.0, 0.1538, 0.0, 0.0467, 0.0, 0.0, 0.0556, 0.1429, 0.0204, 0.0, 0.0323]"
6,6,random,0.839757,0.839757,0.839757,1.0,31,True,828,0,147,11,0,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 25, 30, 31, 34, 39, 40, 41]","[0.9184, 0.8871, 0.9231, 0.8621, 1.0, 0.8462, 0.8242, 0.7222, 0.75, 0.9118, 1.0, 0.8966, 0.8, 0.7692, 0.8393, 0.88, 0.8148, 0.8333, 0.8333, 1.0, 1.0, 1.0, 0.8, 0.75, 1.0, 1.0, 0.8889, 1.0, 0.6667, 0.6923, 0.8636, 0.6, 0.9231, 0.6667, 0.7944, 0.75, 0.5, 0.6667, 0.7857, 0.8367, 0.9474, 1.0]"
6,6,champions,0.836714,0.836714,0.836714,1.0,8,True,825,0,150,11,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.898, 0.8871, 0.8718, 0.8621, 1.0, 0.8846, 0.8242, 0.7222, 0.7083, 0.9118, 1.0, 0.8966, 0.7, 0.6923, 0.8214, 0.88, 0.8148, 0.8333, 0.8333, 1.0, 1.0, 1.0, 0.8, 0.75, 1.0, 1.0, 0.8889, 1.0, 0.75, 0.6923, 0.9545, 0.6, 0.9231, 0.6667, 0.8131, 0.75, 0.5, 0.6667, 0.7857, 0.8367, 0.8947, 0.9677]"
6,6,cluster,0.837728,0.837728,0.837728,1.0,12,True,826,0,149,11,0,"[1, 13, 21, 30]","[0.898, 0.8871, 0.8718, 0.8621, 1.0, 0.8462, 0.8242, 0.7222, 0.7083, 0.9118, 1.0, 0.8966, 0.7, 1.0, 0.8214, 0.88, 0.8148, 0.8333, 0.8333, 1.0, 1.0, 1.0, 0.8, 0.75, 1.0, 1.0, 0.8889, 1.0, 0.6667, 0.6923, 1.0, 0.6, 0.9231, 0.6667, 0.7944, 0.75, 0.5, 0.6667, 0.7857, 0.8367, 0.8947, 0.9677]"
7,7,random,0.074037,0.074037,0.074037,1.0,7,True,73,0,131,782,0,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 26, 29, 30, 31, 32, 34, 35, 38, 39, 40, 41]","[0.0816, 0.0806, 0.1026, 0.1379, 0.0, 0.0769, 0.0549, 0.0556, 0.0417, 0.0882, 0.0, 0.0345, 0.2, 0.0769, 0.0179, 0.04, 0.1852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222, 0.0, 0.0, 0.1538, 0.0455, 0.2, 0.0769, 0.0, 0.028, 0.25, 0.0, 0.0, 0.0714, 0.0612, 0.1053, 0.3548]"
7,7,champions,0.858012,0.858012,0.858012,1.0,7,True,846,0,132,8,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8776, 0.7903, 0.8718, 0.7931, 1.0, 0.8077, 0.9011, 0.7778, 0.9167, 0.7941, 1.0, 0.7241, 0.7, 0.9231, 0.8036, 0.88, 0.9259, 0.8333, 0.8333, 1.0, 1.0, 1.0, 1.0, 0.8333, 0.5, 0.875, 0.6667, 1.0, 1.0, 1.0, 0.8636, 1.0, 1.0, 0.6667, 0.8972, 0.75, 0.5, 0.8333, 0.7857, 0.8571, 0.9474, 0.9032]"
7,7,cluster,0.091278,0.091278,0.091278,1.0,4,True,90,0,132,764,0,"[32, 39]","[0.102, 0.0484, 0.0513, 0.0345, 0.0, 0.0, 0.011, 0.0, 0.0417, 0.0294, 0.0, 0.0, 0.0, 0.0, 0.0179, 0.0, 0.1111, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0187, 0.0, 0.0, 0.0, 0.2143, 0.9388, 0.0526, 0.0323]"
8,8,random,0.097363,0.097363,0.097363,1.0,6,True,96,0,142,748,0,"[0, 1, 2, 3, 5, 6, 7, 8, 11, 13, 14, 16, 18, 19, 20, 23, 24, 25, 31, 34, 38, 39, 41]","[0.0204, 0.129, 0.1282, 0.069, 0.0, 0.1923, 0.1319, 0.1667, 0.0417, 0.0, 0.0, 0.1379, 0.0, 0.0769, 0.0536, 0.08, 0.0741, 0.0, 0.3333, 0.1111, 0.1, 0.0, 0.4, 0.1667, 0.25, 0.125, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.2, 0.0, 0.0, 0.1028, 0.0, 0.5, 0.0, 0.2143, 0.1429, 0.0, 0.0323]"
8,8,champions,0.833671,0.833671,0.833671,1.0,8,True,822,0,147,17,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8571, 0.871, 0.7949, 0.8276, 1.0, 0.7692, 0.8352, 0.9444, 0.9167, 0.7941, 0.0, 0.8621, 0.9, 0.6923, 0.8929, 0.88, 0.7778, 0.8333, 0.8333, 1.0, 0.8, 1.0, 0.8, 0.9167, 1.0, 0.625, 0.5556, 1.0, 0.8333, 0.8462, 0.9091, 0.6667, 0.8462, 0.6667, 0.8318, 0.75, 1.0, 0.7778, 0.6786, 0.7959, 0.7895, 0.8387]"
8,8,cluster,0.084178,0.084178,0.084178,1.0,7,True,83,0,145,758,0,[0],"[1.0, 0.129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0179, 0.04, 0.0, 0.0, 0.0, 0.2222, 0.0, 0.0, 0.2, 0.25, 0.0, 0.0, 0.0, 1.0, 0.0833, 0.0, 0.0, 0.0667, 0.0, 0.0, 0.0561, 0.0, 0.5, 0.0, 0.0357, 0.0612, 0.0, 0.0]"
9,9,random,0.148073,0.148073,0.148073,1.0,17,True,146,0,133,707,0,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 18, 21, 28, 29, 30, 32, 34, 38, 39, 40, 41]","[0.102, 0.0323, 0.0513, 0.7931, 0.0, 0.0385, 0.0989, 0.1296, 0.7917, 0.0882, 0.0, 0.0, 0.0, 0.1538, 0.0536, 0.2, 0.1111, 0.0, 0.3333, 0.0, 0.1, 0.25, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0769, 0.0909, 0.0, 0.3077, 0.0, 0.2804, 0.0, 0.0, 0.0, 0.1429, 0.1633, 0.1053, 0.129]"
9,9,champions,0.84787,0.84787,0.84787,1.0,8,True,836,0,136,14,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8367, 0.7419, 0.8462, 0.7931, 1.0, 0.7308, 0.7912, 0.8519, 0.875, 0.9118, 0.0, 0.9655, 0.9, 0.9231, 0.8393, 0.92, 0.8148, 0.8333, 0.8333, 1.0, 1.0, 0.75, 1.0, 0.9167, 0.75, 0.875, 0.7778, 0.0, 1.0, 0.7692, 1.0, 0.8667, 0.9231, 0.6667, 0.8598, 0.75, 1.0, 0.8333, 0.8571, 0.8163, 0.8421, 0.9355]"
9,9,cluster,0.075051,0.075051,0.075051,1.0,9,True,74,0,134,778,0,"[3, 4, 20, 26]","[0.0, 0.0, 0.1795, 1.0, 0.3333, 0.1923, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0179, 0.04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0187, 0.0, 0.0, 0.0, 0.1071, 0.0, 0.0, 0.0323]"
10,10,random,0.846856,0.846856,0.846856,1.0,20,True,835,0,137,14,0,"[0, 1, 2, 3, 6, 7, 8, 9, 11, 14, 19, 20, 24, 26, 30, 34, 37, 38, 39, 41]","[0.898, 0.7742, 0.8462, 0.8276, 0.6667, 0.8077, 0.8791, 0.7963, 0.9583, 0.9706, 1.0, 0.8276, 0.6, 0.8462, 0.8214, 0.88, 0.8889, 0.6667, 0.8333, 1.0, 0.9, 0.875, 0.8, 0.8333, 1.0, 0.75, 0.6667, 1.0, 0.9167, 1.0, 0.8636, 0.6667, 0.7692, 0.6667, 0.8785, 0.75, 1.0, 1.0, 0.8214, 0.8163, 0.9474, 0.7097]"
10,10,champions,0.848884,0.848884,0.848884,1.0,7,True,837,0,137,12,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.898, 0.7742, 0.8462, 0.7586, 0.6667, 0.8462, 0.8791, 0.8148, 0.9583, 0.9706, 1.0, 0.8276, 0.6, 0.8462, 0.8214, 0.88, 0.8889, 0.6667, 1.0, 1.0, 0.9, 0.875, 0.8, 0.8333, 0.75, 0.75, 0.6667, 1.0, 0.9167, 1.0, 0.9091, 0.7333, 0.7692, 0.6667, 0.8785, 0.75, 1.0, 1.0, 0.8214, 0.8163, 0.9474, 0.7097]"
10,10,cluster,0.099391,0.099391,0.099391,1.0,7,True,98,0,136,752,0,"[33, 37, 38]","[0.0408, 0.0161, 0.0256, 0.0, 0.0, 0.1154, 0.0, 0.0741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0741, 0.1667, 0.0, 0.1111, 0.1, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.1667, 0.0769, 0.0, 0.0, 0.0, 1.0, 0.1776, 0.0, 0.0, 1.0, 1.0, 0.1429, 0.1053, 0.0323]"
11,11,random,0.088235,0.088235,0.088235,1.0,5,True,87,0,159,740,0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 19, 21, 23, 25, 28, 29, 30, 34, 37, 38, 39, 40, 41]","[0.0612, 0.0806, 0.0256, 0.0345, 0.3333, 0.0769, 0.044, 0.1111, 0.0417, 0.0294, 0.0, 0.069, 0.0, 0.0769, 0.125, 0.04, 0.1111, 0.6667, 0.0, 0.1111, 0.3, 0.125, 0.0, 0.0833, 0.0, 0.25, 0.0, 0.0, 0.3333, 0.3077, 0.0455, 0.0, 0.0, 0.0, 0.0374, 0.0, 0.0, 0.1667, 0.2143, 0.1633, 0.0526, 0.1613]"
11,11,champions,0.821501,0.821501,0.821501,1.0,8,True,810,0,163,13,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8367, 0.7419, 0.8718, 0.8966, 0.3333, 1.0, 0.7912, 0.7593, 0.9167, 0.6765, 1.0, 0.7931, 1.0, 0.9231, 0.7321, 0.92, 0.8148, 1.0, 1.0, 0.8889, 0.7, 0.875, 1.0, 0.6667, 0.75, 0.875, 0.7778, 1.0, 0.9167, 0.8462, 0.9545, 0.8667, 1.0, 0.6667, 0.8224, 0.75, 0.5, 0.9444, 0.7857, 0.8776, 0.7895, 0.6774]"
11,11,cluster,0.089249,0.089249,0.089249,1.0,6,True,88,0,167,731,0,"[32, 39]","[0.0612, 0.0645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0185, 0.0, 0.0294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1481, 0.3333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0769, 0.0, 0.0, 1.0, 0.0, 0.0187, 0.0, 0.5, 0.1111, 0.1071, 0.9592, 0.0, 0.0968]"
12,12,random,0.090264,0.090264,0.090264,1.0,4,True,89,0,152,745,0,"[0, 1, 2, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 19, 23, 25, 28, 32, 34, 37, 38, 39, 41]","[0.102, 0.0968, 0.0513, 0.1379, 0.0, 0.0385, 0.0989, 0.0926, 0.125, 0.0, 0.0, 0.0345, 0.0, 0.3077, 0.1071, 0.24, 0.037, 0.3333, 0.0, 0.1111, 0.0, 0.0, 0.2, 0.0833, 0.0, 0.25, 0.1111, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0769, 0.0, 0.1215, 0.0, 0.0, 0.0556, 0.0714, 0.0408, 0.0, 0.2258]"
12,12,champions,0.833671,0.833671,0.833671,1.0,7,True,822,0,153,11,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8367, 0.8387, 0.7949, 0.8621, 1.0, 0.9231, 0.8462, 0.9074, 0.7917, 0.7353, 1.0, 0.8966, 0.8, 0.7692, 0.8393, 0.8, 0.8889, 0.6667, 0.8333, 0.7778, 0.9, 0.875, 0.8, 0.8333, 1.0, 0.75, 0.6667, 1.0, 0.8333, 0.8462, 0.9091, 0.8, 0.8462, 1.0, 0.7477, 1.0, 1.0, 0.9444, 0.7857, 0.8163, 0.9474, 0.871]"
12,12,cluster,0.091278,0.091278,0.091278,1.0,4,True,90,0,154,742,0,"[4, 21, 37, 41]","[0.0204, 0.0161, 0.0, 0.1379, 1.0, 0.0, 0.022, 0.0185, 0.0417, 0.0, 0.0, 0.0, 0.1, 0.1538, 0.0179, 0.32, 0.0, 0.3333, 0.0, 0.0, 0.0, 1.0, 0.4, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0374, 0.0, 0.0, 0.8333, 0.0, 0.0204, 0.0, 1.0]"
13,13,random,0.851927,0.851927,0.851927,1.0,21,True,840,0,135,11,0,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 14, 15, 16, 17, 20, 24, 29, 30, 31, 32, 34, 37, 38, 39, 40, 41]","[0.8571, 0.871, 0.8462, 0.7931, 0.6667, 0.8077, 0.8352, 0.7963, 0.8333, 0.7059, 1.0, 0.8966, 1.0, 0.8462, 0.9107, 0.84, 0.7778, 0.8333, 1.0, 0.8889, 0.9, 1.0, 1.0, 0.8333, 1.0, 0.75, 0.7778, 1.0, 0.8333, 0.8462, 0.9545, 0.9333, 0.8462, 1.0, 0.8692, 1.0, 0.5, 0.8333, 0.8929, 0.8571, 0.9474, 0.7742]"
13,13,champions,0.848884,0.848884,0.848884,1.0,7,True,837,0,135,14,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8367, 0.871, 0.8718, 0.7931, 0.6667, 0.8077, 0.8352, 0.8148, 0.8333, 0.7059, 1.0, 0.8621, 1.0, 0.9231, 0.8929, 0.84, 0.7407, 0.8333, 1.0, 0.8889, 0.9, 1.0, 1.0, 0.8333, 1.0, 0.75, 0.7778, 1.0, 0.8333, 0.7692, 1.0, 1.0, 0.8462, 1.0, 0.8318, 1.0, 0.5, 0.9444, 0.8571, 0.8571, 0.9474, 0.7742]"
13,13,cluster,0.086207,0.086207,0.086207,1.0,5,True,85,0,136,765,0,"[5, 20, 25, 28, 35]","[0.102, 0.0323, 0.1538, 0.069, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.1379, 0.0, 0.0, 0.0, 0.08, 0.0, 0.1667, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0833, 0.0, 1.0, 0.0, 0.0, 0.0833, 0.1538, 0.0455, 0.0, 0.0, 0.0, 0.028, 1.0, 0.0, 0.0, 0.0714, 0.0, 0.1579, 0.0323]"
14,14,random,0.821501,0.821501,0.821501,1.0,19,True,810,0,153,23,0,"[0, 1, 2, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 19, 24, 25, 26, 30, 31, 34, 37, 38, 39, 40]","[0.8776, 0.8387, 0.8205, 0.8621, 1.0, 0.8462, 0.7802, 0.8333, 0.7083, 0.7353, 1.0, 0.8621, 0.9, 0.8462, 0.7679, 0.88, 0.7778, 0.1667, 0.8333, 0.7778, 1.0, 0.625, 0.8, 0.5833, 0.75, 1.0, 0.5556, 1.0, 0.8333, 1.0, 0.8182, 0.9333, 0.9231, 1.0, 0.8598, 0.75, 1.0, 0.8889, 0.8571, 0.9184, 0.7368, 0.6774]"
